id,rss,time_tf,time_rss,position_x,position_y,SA,DA,times,number,length
257,-40.0,54:54.3,54:54.3,2.88,-0.01,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
258,-45.0,54:54.4,54:54.4,2.89,-0.01,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
258,-39.0,54:54.4,54:54.5,2.89,-0.01,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
262,-34.0,54:54.9,54:54.9,2.9,-0.01,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
263,-35.0,54:55.0,54:55.0,2.91,0.0,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
263,-36.0,54:55.0,54:55.1,2.91,0.0,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
265,-32.0,54:55.3,54:55.3,2.92,0.0,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
266,-34.0,54:55.4,54:55.4,2.94,0.01,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
267,-31.0,54:55.5,54:55.5,2.95,0.01,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
268,-33.0,54:55.6,54:55.6,2.97,0.02,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
269,-33.0,54:55.8,54:55.7,2.98,0.02,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
269,-34.0,54:55.8,54:55.8,2.98,0.02,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
270,-39.0,54:55.9,54:55.9,3.0,0.03,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
271,-40.0,54:56.0,54:56.0,3.02,0.03,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
272,-40.0,54:56.1,54:56.1,3.04,0.02,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
273,-40.0,54:56.2,54:56.2,3.06,0.02,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
274,-37.0,54:56.4,54:56.3,3.08,0.02,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
274,-35.0,54:56.4,54:56.4,3.08,0.02,50:fa:84:c9:f4:e7,ff:ff:ff:ff:ff:ff,0,1,1
